prompt,phrase
Head ache,My head hurts whenever I try to do something.
Shoulder pain,My shoulder hurts me so much
Feeling dizzy,I feel lightheaded
Knee pain,My knee hurts when I walk
Cough,I can't stop coughing
Knee pain,My knee hurts when I play squash
Infected wound,Surgical wound infections
Blurry vision,i can't ride my car at night because i have blurry vision.
Skin issue,i have issue with my skin
Skin issue,I have this strange rash on my arm.
Head ache,fell skull is cracked like nuts
Muscle pain,i have muscle pain at my left leg.
Muscle pain,I need a kind of cream wich make my muscles more relaxed
Hard to breath,I feel something hurt me in taking breath and I cant take my breath
Heart hurts,It is like I have a needle pushing through my heart.
Hard to breath,"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down."
Shoulder pain,There is so much pain when I move my arm.
Back pain,When I bend over I get a shooting pain down my back
Heart hurts,The area around my heart doesn't feel good.
Shoulder pain,My shoulder has agreat pain
Heart hurts,It is like I have a needle pushing through my heart.
Injury from sports,"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now."
Stomach ache,I feel a burning sensation in my guts about 2 hours after each meal.
Emotional pain,i'm disappointed
Body feels weak,i feel weak
Muscle pain,I need a kind of cream wich make my muscles more relaxed
Foot ache,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
Shoulder pain,Why is my shoulder aching when I try to pick up the laundry?
Muscle pain,i have muscle pain at my left leg.
Stomach ache,i feel pain in my stomach
Hard to breath,I have difficulty in breathing in crowded places.
Back pain,I feel pain in the lower back
Acne,My face break out badly every month around my cycle.
Head ache,I have a dull ache in my head
Infected wound,His infected wound was beginning to rot.
Feeling cold,I feel cold although we are in summer.
Foot ache,"I have a foot ache in winter, or when it feels cold, why?"
Emotional pain,heavy breath with fatigue
Muscle pain,My biceps started aching after I went to the gym
Hard to breath,I'm not feeling good I can't take my breath
Body feels weak,My body feels weak and I tried to make it relax but it stills pain me
Blurry vision,I have blurred vision.
Hair falling out,using hair tonic
Shoulder pain,My shoulder hurts me so much
Knee pain,I can't work good I have a pain in my knee
Feeling dizzy,I feel like the world goes round and round
Head ache,I feel great pain in the head
Foot ache,"i walked a long for 3 km, i feel pain in my foot like foot ache"
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Hair falling out,I've noticed my hair falling out a lot lately.
Neck pain,Pain in the large neck
Open wound,My wound opened up again
Injury from sports,i hit the ground when trying to shoot a basketball
Acne,My son has a lot of acne.
Skin issue,Every time it rains I get hives on my belly and sides.
Foot ache,I can't walk because i have a great foot ache
Back pain,longitudinal burning line across back with hard respiratory movements
Body feels weak,"I hardly have enough stength to get up,"
Skin issue,i have issue with my skin
Ear ache,My ear hurts when I touch it.
Cough,I usually have a bad cough when I get flu.
Head ache,I feel a sharp pain in my head when I think too hard.
Body feels weak,My body feels weak and i think that my face is fade and i can't sleep well
Hair falling out,When I tried to take care if my hair I found that it is falling out
Acne,"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away."
Knee pain,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
Hair falling out,There are lots of hairs on my pillow in the morning.
Neck pain,I can't turn my neck to the left without feeling a stabbing pain
Heart hurts,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep."
Back pain,When I play sports  I have some burning sensation in my spine
Acne,My acne is really embarassing. It's so read.
Acne,My acne itches and oozes.
Ear ache,It itches inside my ears.
Feeling cold,"Even if the temperature is high in the house,  my body is always cold"
Blurry vision,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
Skin issue,I have a red rash that is itchy on my skin
Head ache,My head is so heavy can't think normally
Stomach ache,I feel a sharp pain in the stomach after eating
Hard to breath,My chest hurts when I go to take a breath
Infected wound,I'm not feeling good I get infection wound
Neck pain,Every time I look to left I feel a sharp pain in my neck.
Ear ache,I'm not hearing well I have problem with my ear
Feeling dizzy,when i wake up in the morning i feel dizzy
Back pain,I feel a pain in my back
Knee pain,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
Hard to breath,I've got a hard time to breath- am I having a heart attack?
Emotional pain,I've been feeling very sad lately
Muscle pain,When i'm doing sport I have pain under my skin
Emotional pain,"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break."
Infected wound,I have a cut that has become red and oozes puss.
Open wound,I have a split on my thumb that will not heal.
Foot ache,i feel pain in my foot
Feeling dizzy,i feel dizzy after severe diarrhea
Feeling dizzy,I feel like the room is spinning
Neck pain,I feel pain in my neck while I'm working.
Hair falling out,I lose a lot of my hair
Cough,I've had this cough for two weeks.
Emotional pain,I feel pain when parting loved ones
Foot ache,After an hard working day I have foot ache
Infected wound,I think my wound is infected
Knee pain,i feel pain in my knee
Joint pain,i have pain like needles in my joints.
Injury from sports,"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back."
Body feels weak,Sometimes my body feels week without reason
Hair falling out,I'm in need for a treatment for my hair fall
Cough,I have a lot of mucus when I cough.
Hair falling out,I visited many doctors but they can't find the right treatment toget my hair back
Knee pain,"When I walk up a flight of stairs, my right knee hurts."
Acne,Is pimples a skin disease?
Emotional pain,"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break."
Emotional pain,I feel really sad all the time.
Muscle pain,Every morning when I wake up my neck feels like I slept on in wrong.
Internal pain,I have a head pain every single day.
Ear ache,Since I went into the forest  I have pain on my ear
Back pain,I have shooting pains up and down my back.
Heart hurts,I feel a strange and powerful pain inside my rib cage
Muscle pain,When i'm doing sport I have pain under my skin
Knee pain,My knees seem to grind as I go up or down stairs.
Feeling dizzy,I feel dizzy whenever I stand up.
Head ache,I feel a great amount of pressure of my head.
Stomach ache,I made lots and lots of analysis to know the main reason for my stomach ache
Injury from sports,"i was injured during football match, i was diagnosed with Cruciate ligament"
Shoulder pain,i have shoulder pain after doing any home work.
Neck pain,I have a powerful pain inside my neck
Shoulder pain,It hurts when I raise my arm up
Open wound,I must see a doctor i have an open wound
Injury from sports,i hit the ground when trying to shoot a basketball
Head ache,"My head hurts and I lose the sensation in my face, then lose sight in my eye"
Cough,i can't breath because of  Cough
Neck pain,I can hardly move my neck.  It hurts.
Infected wound,My sore looks like its not healing well.
Acne,Even though I'm an adult my face keeps breaking out in pimples.
Shoulder pain,i have a strong shoulder pain
Open wound,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open"
Infected wound,"surgical wounds red, firing pus, painful and hot to the touch"
Stomach ache,I have a sharp pain in my lower stomach.
Back pain,I have a dull ache in  my lower back which makes it difficult to move
Infected wound,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.
